user_id,country,age_band,employment_status,employment_type,industry,years_in_current_role,monthly_net_income_eur,income_stability_1_5,household_size,dependents,housing_status,monthly_housing_cost_eur,liquid_savings_eur,emergency_fund_months,monthly_savings_eur,consumer_debt_eur,debt_types,mortgage_remaining_eur,investable_assets_eur,investment_experience,risk_tolerance_1_5,financial_confidence_1_5,primary_financial_goal,goal_horizon_months,plans_home_purchase,home_purchase_horizon_months,interested_in_investing,interested_in_mortgage,interested_in_savings_products,interested_in_insurance,interested_in_pension,recent_life_event,biggest_financial_concern,what_would_you_like_help_with,open_to_financial_advisor_call,marketing_contact_consent,preferred_contact_channel,survey_completed_at
FZ-0076,Italy,55-64,Employed,Full-time permanent,Healthcare,12.3,4700,5,2,0,Own with mortgage,1200,30000,6,400,0,None,60000,190000,Experienced,2,4,Prepare for retirement,60,No,,Yes,No,Yes,No,Yes,Unexpected expense,Not having enough for retirement,I would like to understand my retirement gap and what monthly contribution would close it.,Yes,No,None,2026-07-24T16:16:00+02:00
FZ-0077,Italy,25-34,Employed,Fixed-term,Education,8.3,,4,3,0,Renting,900,55000,5,700,3500,Personal loan,0,19000,Beginner,3,3,Build wealth,120,No,,Yes,No,Yes,No,No,Unexpected expense,Missing better uses for my savings,I save every month but do not have a clear goal for the money beyond keeping a safety cushion.,Maybe,Yes,Email,2026-07-26T12:53:00+02:00
FZ-0078,Italy,35-44,Employed,Fixed-term,Public Sector,0.6,4100,5,3,3,Renting,900,47000,2,900,9500,Credit card,0,7000,Beginner,3,3,Protect family finances,24,No,,Yes,No,Yes,Yes,Yes,None,Protecting my family financially,My finances were simple before having children; now I want a clearer household plan.,Maybe,Yes,WhatsApp,2026-07-08T14:57:00+02:00
FZ-0079,France,25-34,Employed,Fixed-term,Healthcare,5.5,3100,5,5,3,Renting,1150,,4,250,0,None,0,4500,None,2,3,Start investing,60,No,,Yes,No,Yes,No,No,Promotion,Keeping too much cash,"I am interested in ETFs and investing monthly, but I need help deciding how much I can invest safely.",Maybe,Yes,WhatsApp,2026-08-08T11:10:00+02:00
FZ-0080,France,45-54,Employed,Full-time permanent,Healthcare,3.9,4250,5,1,0,Own outright,0,80000,8,2100,10000,Car loan,0,350000,Experienced,4,5,Optimise investments,120,No,,Yes,No,Maybe,No,Maybe,Moved city,Fees and tax efficiency,"I already invest regularly and want to review allocation, fees and whether I am too concentrated.",Maybe,No,None,2026-07-28T13:58:00+02:00
FZ-0081,Italy,55-64,Employed,Full-time permanent,Manufacturing,13.6,,5,5,4,Own outright,250,110000,8,900,1500,Credit card,0,175000,Intermediate,2,4,Prepare for retirement,120,No,,Yes,No,Maybe,No,Yes,Had a child,Understanding pension options,I would like to understand my retirement gap and what monthly contribution would close it.,Yes,Yes,Phone,2026-09-04T12:00:00+02:00
FZ-0082,France,35-44,Self-employed,Self-employed,Hospitality,9.5,6000,3,3,1,Renting,850,32000,4,1150,0,None,0,19000,Intermediate,3,4,Stabilise finances,24,No,,Maybe,No,Yes,No,Yes,Got married,Tax payments and cash-flow swings,"My income changes month to month, so I want to understand how large my cash buffer should be and how to invest the rest.",Yes,No,None,2026-09-27T10:45:00+02:00
FZ-0083,France,25-34,Employed,Fixed-term,Public Sector,1.7,2200,4,3,2,Renting,950,44000,3,650,0,None,0,12000,None,3,3,Buy a home,24,Yes,24,Maybe,Yes,Yes,No,No,Promotion,House prices and mortgage affordability,"I am renting now and would like to buy my first home, but I do not know how much deposit I should keep aside.",Yes,No,None,2026-07-24T13:17:00+02:00
FZ-0084,Italy,35-44,Employed,Full-time permanent,Public Sector,6.1,3000,3,2,1,Renting,650,,9,500,0,None,0,500,None,3,2,Start investing,36,No,,Yes,No,Yes,No,No,None,Choosing the wrong investment products,I have cash sitting in my account and want to start investing without taking risks I do not understand.,Maybe,Yes,Phone,2026-09-02T16:15:00+02:00
FZ-0085,Italy,25-34,Employed,Full-time permanent,Public Sector,4.9,4100,4,2,0,Renting,1150,30000,6,500,0,None,0,1000,Beginner,3,2,Buy a home,36,Yes,36,No,Yes,Yes,No,No,None,House prices and mortgage affordability,"I am renting now and would like to buy my first home, but I do not know how much deposit I should keep aside.",Yes,Yes,WhatsApp,2026-09-01T18:16:00+02:00
FZ-0086,Italy,18-24,Employed,Full-time permanent,Hospitality,6.1,2000,5,5,3,Renting,600,9000,5,400,0,None,0,4500,None,4,3,Start investing,120,No,,Yes,No,Yes,No,No,Planning relocation,Losing money when I start investing,"I am interested in ETFs and investing monthly, but I need help deciding how much I can invest safely.",Yes,Yes,Phone,2026-08-09T08:08:00+02:00
FZ-0087,France,25-34,Employed,Fixed-term,Education,6.2,3800,3,1,0,Renting,1000,23000,3,800,0,None,0,2000,None,3,3,Start investing,36,No,,Yes,No,Yes,No,No,Moved city,Choosing the wrong investment products,"I am interested in ETFs and investing monthly, but I need help deciding how much I can invest safely.",Maybe,Yes,WhatsApp,2026-09-18T21:05:00+02:00
FZ-0088,France,35-44,Employed,Full-time permanent,Media,5.3,4400,5,3,3,Renting,600,14000,4,350,0,None,0,16000,Intermediate,2,4,Protect family finances,120,No,,Maybe,No,Yes,Yes,Maybe,Got married,Unexpected family expenses,"I want to plan for family expenses, insurance and long-term savings without overcommitting each month.",,Yes,Phone,2026-08-25T14:24:00+02:00
FZ-0089,Italy,18-24,Employed,Full-time permanent,Education,6.1,2900,4,4,2,Renting,650,27000,6,250,0,None,0,1000,Beginner,2,3,Start investing,36,No,,Yes,No,Yes,No,No,Promotion,Losing money when I start investing,I have cash sitting in my account and want to start investing without taking risks I do not understand. I prefer not to be called about products.,Yes,No,None,2026-09-26T11:16:00+02:00
FZ-0090,Spain,45-54,Employed,Fixed-term,Manufacturing,6.9,,4,2,0,Renting,1150,3000,2,-150,11000,Personal loan,0,1000,Beginner,1,2,Reduce debt,12,No,,No,No,Maybe,No,No,New job,Monthly debt payments,I have several payments every month and want to reduce the pressure before I think about investing.,Yes,Yes,Email,2026-07-05T17:46:00+02:00
FZ-0091,Spain,35-44,Employed,Full-time permanent,Finance,4.7,4400,4,3,1,Renting,1050,26000,3,450,0,None,0,10000,Beginner,2,4,Protect family finances,60,No,,Maybe,No,Yes,Yes,Yes,None,Protecting my family financially,We have a child now and I want to make sure our emergency fund and protection are adequate.,Yes,Yes,WhatsApp,2026-09-06T12:07:00+02:00
FZ-0092,Italy,35-44,Employed,Fixed-term,Retail,7.5,4250,4,1,0,Own outright,250,65000,24,700,0,None,0,5000,None,2,2,Make savings work harder,36,No,,Yes,No,Yes,No,Yes,Started freelancing,Inflation reducing the value of my cash,Most of my money is in cash. I want help organising it between emergency savings and investments.,Yes,Yes,Email,2026-08-28T11:12:00+02:00
FZ-0093,Italy,35-44,Employed,Full-time permanent,Finance,0.6,3600,5,5,3,Renting,650,41000,3,200,0,None,0,17000,Beginner,2,2,Protect family finances,120,No,,Yes,No,Yes,Yes,Maybe,None,Protecting my family financially,"I want to plan for family expenses, insurance and long-term savings without overcommitting each month.",Yes,Yes,Phone,2026-08-28T17:02:00+02:00
FZ-0094,Spain,55-64,Employed,Fixed-term,Retail,11.1,3300,4,3,1,Own with mortgage,950,60000,8,800,0,None,25000,120000,Experienced,3,3,Prepare for retirement,180,No,24,Yes,No,Maybe,No,Yes,Got married,Not having enough for retirement,Retirement is getting closer and I want a clearer pension and investment strategy.,Yes,Yes,Email,2026-09-09T14:32:00+02:00
FZ-0095,Italy,25-34,Employed,Fixed-term,Healthcare,6.9,2900,3,1,0,Renting,750,17000,5,500,0,None,0,500,Beginner,3,,Start investing,60,No,,Yes,No,Yes,No,No,Relationship change,Choosing the wrong investment products,I have cash sitting in my account and want to start investing without taking risks I do not understand.,Maybe,Yes,Email,2026-09-02T13:48:00+02:00
FZ-0096,France,55-64,Employed,Full-time permanent,Healthcare,3.0,5500,4,2,1,Own with mortgage,800,55000,12,1900,0,None,100000,155000,Experienced,5,,Optimise investments,120,No,,Yes,No,No,No,Yes,Relationship change,Fees and tax efficiency,"I already invest regularly and want to review allocation, fees and whether I am too concentrated.",,Yes,WhatsApp,2026-07-27T08:22:00+02:00
FZ-0097,Italy,35-44,Employed,Full-time permanent,Professional Services,3.4,3700,5,3,3,Renting,1100,10000,6,900,0,None,0,4000,Intermediate,2,3,Protect family finances,120,No,,Maybe,No,Yes,Yes,Maybe,Got married,Balancing current costs with long-term savings,"I want to plan for family expenses, insurance and long-term savings without overcommitting each month.",Maybe,No,None,2026-07-20T16:18:00+02:00
FZ-0098,France,45-54,Employed,Full-time permanent,Hospitality,17.7,5200,5,3,2,Own with mortgage,1200,70000,6,400,0,None,40000,165000,Experienced,3,4,Prepare for retirement,180,No,,Yes,No,Maybe,No,Yes,Got married,Market risk close to retirement,I want to know whether I am saving enough for retirement and whether my current investments make sense.,Yes,Yes,Phone,2026-09-04T11:38:00+02:00
FZ-0099,Italy,25-34,Employed,Full-time permanent,Media,6.9,4200,5,1,0,Renting,1000,41000,6,950,0,None,0,5000,None,3,3,Buy a home,18,Yes,18,No,Yes,Yes,No,No,New job,House prices and mortgage affordability,"I am renting now and would like to buy my first home, but I do not know how much deposit I should keep aside.",Yes,Yes,Phone,2026-09-18T12:40:00+02:00
FZ-0100,Italy,35-44,Employed,Full-time permanent,Education,4.7,8750,5,4,2,Own outright,0,20000,12,1000,7000,Personal loan,0,180000,Experienced,3,4,Optimise investments,180,No,,Yes,No,Maybe,No,Maybe,Moved city,Keeping my allocation disciplined,I want a more structured view of my portfolio and future contributions.,No,Yes,WhatsApp,2026-08-18T18:29:00+02:00
FZ-0101,Italy,25-34,Employed,Full-time permanent,Hospitality,4.8,3200,3,2,1,Renting,1050,6500,2,100,16000,Car loan; Credit card,0,0,Beginner,2,1,Reduce debt,12,No,,No,No,Maybe,No,No,Promotion,Monthly debt payments,My priority is getting monthly payments under control and understanding which debt I should repay first.,Yes,No,None,2026-09-28T20:22:00+02:00
FZ-0102,Spain,35-44,Employed,Fixed-term,Public Sector,8.3,3300,3,2,0,Renting,1050,18000,4,800,0,None,0,500,Beginner,3,3,Start investing,120,No,,Yes,No,Yes,No,No,Had a child,Losing money when I start investing,"I am interested in ETFs and investing monthly, but I need help deciding how much I can invest safely.",Yes,No,None,2026-07-22T12:39:00+02:00
FZ-0103,Italy,55-64,Employed,Full-time permanent,Finance,9.0,4900,5,4,2,Own outright,0,75000,12,800,8000,Credit card,0,215000,Experienced,2,4,Prepare for retirement,180,No,,Yes,No,Maybe,No,Yes,None,Understanding pension options,I want to know whether I am saving enough for retirement and whether my current investments make sense.,Yes,Yes,Email,2026-07-21T15:14:00+02:00
FZ-0104,Spain,55-64,Employed,Fixed-term,Hospitality,15.8,5200,4,3,2,Own outright,150,45000,12,500,7000,Credit card,0,195000,Experienced,2,3,Prepare for retirement,180,No,,Yes,No,Maybe,No,Yes,New job,Not having enough for retirement,I would like to understand my retirement gap and what monthly contribution would close it.,Yes,No,None,2026-09-13T13:34:00+02:00
FZ-0105,Spain,35-44,Employed,Full-time permanent,Manufacturing,2.6,4200,5,5,4,Renting,1200,32000,5,650,0,None,0,8000,None,2,4,Buy a home,24,Yes,24,No,Yes,Yes,Maybe,No,Started freelancing,House prices and mortgage affordability,I want a clear plan for buying a home in the next couple of years and comparing mortgage options.,Maybe,Yes,Email,2026-07-28T13:43:00+02:00
FZ-0106,Spain,55-64,Employed,Fixed-term,Finance,14.3,3300,5,3,1,Own with mortgage,950,40000,6,700,7000,Credit card,35000,165000,Intermediate,3,3,Prepare for retirement,60,No,,Yes,No,Maybe,No,Yes,Unexpected expense,Understanding pension options,Retirement is getting closer and I want a clearer pension and investment strategy.,Yes,Yes,Email,2026-09-07T10:29:00+02:00
FZ-0107,Italy,35-44,Self-employed,Self-employed,Media,8.9,5000,2,3,2,Renting,1000,23000,6,900,0,None,0,24000,Intermediate,2,4,Stabilise finances,36,No,,Yes,No,Yes,No,Yes,Unexpected expense,Not having enough buffer in weak months,"Since I freelance, I need a better system for taxes, savings and long-term planning.",Maybe,Yes,Phone,2026-09-09T15:13:00+02:00
FZ-0108,Italy,25-34,Employed,Full-time permanent,Education,2.7,3900,5,2,0,Renting,550,,5,650,0,None,0,2000,Beginner,4,3,Start investing,36,No,,Yes,No,Yes,No,No,Had a child,Losing money when I start investing,I would like to build a long-term investment plan and stop leaving everything in cash.,Yes,No,None,2026-08-18T14:27:00+02:00
FZ-0109,Italy,35-44,Employed,Fixed-term,Technology,8.0,,3,2,1,Renting,750,2500,1,-250,7000,Credit card,0,1000,Beginner,1,2,Reduce debt,12,No,,No,No,Maybe,No,No,Started freelancing,Unexpected expenses while repaying debt,I want a realistic plan to pay down debt and rebuild an emergency buffer. I prefer not to be called about products.,Yes,Yes,Phone,2026-07-08T18:58:00+02:00
FZ-0110,Spain,45-54,Self-employed,Self-employed,Education,3.5,3500,3,4,2,Renting,900,60000,10,600,0,None,0,23000,Beginner,2,3,Stabilise finances,36,No,,Yes,No,Yes,No,Yes,Unexpected expense,Tax payments and cash-flow swings,I want to separate business volatility from my personal finances and build more predictable savings.,Yes,Yes,Email,2026-07-06T16:21:00+02:00
FZ-0111,Italy,35-44,Employed,Full-time permanent,Manufacturing,2.0,3600,4,2,0,Renting,1150,51000,8,850,0,None,0,5000,Beginner,3,3,Buy a home,24,Yes,24,Maybe,Yes,Yes,No,No,New job,Interest rates increasing,I want a clear plan for buying a home in the next couple of years and comparing mortgage options.,Yes,Yes,WhatsApp,2026-07-25T09:02:00+02:00
FZ-0112,France,55-64,Employed,Full-time permanent,Professional Services,14.5,5900,5,2,0,Own with mortgage,1250,125000,8,1100,6000,Credit card,35000,165000,Intermediate,3,3,Prepare for retirement,120,No,,Yes,No,Maybe,No,Yes,Promotion,Market risk close to retirement,I want to know whether I am saving enough for retirement and whether my current investments make sense.,Yes,Yes,Phone,2026-09-04T09:24:00+02:00
FZ-0113,Italy,35-44,Employed,Full-time permanent,Healthcare,5.5,5250,5,3,1,Own outright,0,85000,18,600,0,None,0,20000,None,3,3,Make savings work harder,120,No,,Yes,No,Yes,No,Yes,Started freelancing,Inflation reducing the value of my cash,I have saved quite a lot but I am not confident about what to do with it and I keep postponing decisions.,Yes,Yes,Phone,2026-07-10T19:45:00+02:00
FZ-0114,Italy,35-44,Employed,Fixed-term,Hospitality,5.2,4300,4,5,3,Renting,950,15000,6,550,7500,Car loan,0,21000,Intermediate,3,2,Protect family finances,60,No,,Yes,No,Yes,Yes,Maybe,Had a child,Balancing current costs with long-term savings,We have a child now and I want to make sure our emergency fund and protection are adequate.,Maybe,No,None,2026-07-11T12:41:00+02:00
FZ-0115,Italy,25-34,Employed,Full-time permanent,Manufacturing,8.4,,2,4,3,Renting,700,500,0,-50,20000,Personal loan,0,1000,None,1,1,Reduce debt,36,No,,No,No,Maybe,No,No,Got married,Unexpected expenses while repaying debt,I have several payments every month and want to reduce the pressure before I think about investing.,Yes,Yes,Email,2026-09-08T11:37:00+02:00
FZ-0116,Italy,25-34,Self-employed,Self-employed,Healthcare,4.0,3500,2,2,0,Renting,700,47000,8,850,4000,Personal loan,0,9000,Intermediate,4,2,Stabilise finances,24,No,,Maybe,No,Yes,No,Yes,Promotion,Irregular income,"Since I freelance, I need a better system for taxes, savings and long-term planning.",Yes,Yes,Phone,2026-09-19T20:07:00+02:00
FZ-0117,France,35-44,Employed,Full-time permanent,Hospitality,5.2,2800,4,2,1,Renting,1150,32000,6,1050,0,None,0,4000,None,3,2,Buy a home,12,Yes,12,Maybe,Yes,Yes,No,No,Promotion,Using too much of my savings for a deposit,I want to understand how much mortgage I could realistically afford without draining all my savings.,Maybe,Yes,Email,2026-08-17T08:57:00+02:00
FZ-0118,Spain,45-54,Employed,Fixed-term,Finance,7.6,4750,4,3,2,Own outright,150,90000,24,1600,0,None,0,27500,Beginner,2,2,Make savings work harder,36,No,,Yes,No,Yes,No,Maybe,New job,Inflation reducing the value of my cash,I want a simple strategy for my savings rather than moving money around without a plan.,Yes,Yes,WhatsApp,2026-07-11T21:08:00+02:00
FZ-0119,France,45-54,Employed,Full-time permanent,Media,4.3,2800,4,1,0,Renting,850,70000,5,1000,0,None,0,23000,Beginner,3,4,Build wealth,60,No,,Maybe,No,Yes,No,No,New job,Savings losing value to inflation,I save every month but do not have a clear goal for the money beyond keeping a safety cushion.,Maybe,Yes,WhatsApp,2026-08-26T21:32:00+02:00
FZ-0120,Spain,35-44,Employed,Full-time permanent,Manufacturing,3.7,2800,5,2,1,Renting,1000,33000,8,400,0,None,0,0,Beginner,3,3,Buy a home,18,Yes,18,No,Yes,Yes,No,No,Relationship change,House prices and mortgage affordability,I want to understand how much mortgage I could realistically afford without draining all my savings.,Maybe,Yes,WhatsApp,2026-09-16T08:45:00+02:00
